Id de evento;Tipo;Fecha Evento;Título evento;Descripcion y Resumen Evento;Categorias;Subcategorias;Doble/Multiple Afectacion;Resolucion 1612;Resolucion 1820;Departmento;Municipio;Latitud;Longitud;Numero de afectados;Genero;Familia;Ocupacion;Etnia;Grupo poblacional;Edad;Estado;Condicion;Fecha de fuente;Tipo de fuente;Nombre de fuente;Fuente
1;Violencia;2024-01-03T00:00:00;Un soldado muerto y 12 heridos en ataque del Clan del Golfo en Turbo, Antioquia;.Antioquia-Turbo-miércoles 3 enero 2024;Acciones armadas;Emboscada;No;No;No;Antioquia;Turbo;8.093055556;-76.72833333;1;Masculino;0;Combatiente;Sin información;Población en general;Mayor de 18 años;Muerto;Militar;45294;Prensa;El Tiempo;https://www.eltiempo.com/colombia/medellin/antioquia-ataque-explosivo-dejo-un-soldado-muerto-y-12-uniformados-heridos-en-uraba-841096
2;Violencia;2024-01-03T00:00:00;Un soldado muerto y 12 heridos en ataque del Clan del Golfo en Turbo, Antioquia;.Antioquia-Turbo-miércoles 3 enero 2024;Acciones armadas;Emboscada;No;No;No;Antioquia;Turbo;8.093055556;-76.72833333;12;Masculino;0;Combatiente;Sin información;Población en general;Mayor de 18 años;Herido;Militar;45294;Prensa;El Tiempo;https://www.eltiempo.com/colombia/medellin/antioquia-ataque-explosivo-dejo-un-soldado-muerto-y-12-uniformados-heridos-en-uraba-841096
3;Violencia;2024-01-01T00:00:00;Asesinan a migrante venezolana en Medellín;.Antioquia-Medellín-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;Si;Antioquia;Medellín;6.244747222;-75.57482778;1;Femenino;0;Desconocida;Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Civil;45293;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/una-mujer-venezolana-primera-victima-de-femicidio-de-este-ano-en-medellin
4;Violencia;2024-01-01T00:00:00;Asesinan a un hombre en Copacabana, Antioquia;.Antioquia-Copacabana-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Copacabana;6.348611111;-75.51027778;1;Masculino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45293;Sociedad Civil;Analisisurbano.org;https://analisisurbano.org/lo-mataron-por-defender-a-su-amigo-en-copacabana-antioquia/317101/
5;Violencia;2024-01-01T00:00:00;Asesinan a un hombre en Girardota, Antioquia;.Antioquia-Girardota-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Girardota;6.376944444;-75.44611111;1;Masculino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;Muerto;Desconocido;45293;Sociedad Civil;Analisisurbano.org;https://analisisurbano.org/a-oscar-javier-lo-mataron-a-bala-es-el-primer-homicidio-de-este-ano-en-girardota-antioquia/317106/
6;Violencia;2024-01-02T00:00:00;Joven asesinado en la comuna 13 de Medellín;.Antioquia-Medellín-martes 2 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Medellín;6.244747222;-75.57482778;1;Masculino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45294;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/un-joven-fue-asesinado-en-el-barrio-corazon-de-la-comuna-13-de-medellin
7;Violencia;2024-01-02T00:00:00;El Tambo: joven campesino herido tras ataque armado;.Cauca-El Tambo-martes 2 enero 2024;Ataques contra la población civil;Atentado;No;No;No;Cauca;El Tambo;2.451388889;-76.81083333;1;Masculino;0;Campesino(a) / Agricultor(a);Sin información;Población en general;Mayor de 18 años;Herido;Civil;45293;Prensa;periodicovirtual.com;https://periodicovirtual.com/el-tambo-joven-campesino-herido-tras-ser-atacado-a-balazos/
8;Violencia;2024-01-02T00:00:00;Asesinaron a otro firmante de paz en el sur del Cauca.;.Cauca-Sucre-martes 2 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Cauca;Sucre;2.0375;-76.925;1;Masculino;0;Persona en proceso de reincorporación (PPR);Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45293;Radio;La W;https://www.wradio.com.co/2024/01/02/asesinaron-a-otro-firmante-de-paz-en-el-sur-del-cauca/
9;Violencia;2024-01-03T00:00:00;Comunidades repudian el asesinato de otro comunero en el Cauca;.Cauca-Corinto-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Cauca;Corinto;3.173888889;-76.25944444;1;Masculino;0;Lider(esa) Comunitario (a);Indígena-Desconocido;Población en general;Mayor de 18 años;Muerto;Civil;45294;Radio;La W;https://www.wradio.com.co/2024/01/04/comunidades-repudian-el-asesinato-de-otro-comunero-en-el-cauca/
10;Violencia;2024-01-03T00:00:00;Reportaron un homicidio en la zona rural de Bolívar, Cauca;.Cauca-Bolívar-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Cauca;Bolívar;1.835833333;-76.96638889;1;Masculino;0;Sin Información;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45294;Prensa;periodicovirtual.com;https://periodicovirtual.com/reportaron-un-homicidio-en-la-zona-rural-de-bolivar-cauca/
